GENESIS-Tabelle: 12111-12-01-4
Bevölkerung nach Geschlecht, Erwerbsstatus;;;;;;;;;;;;;
und Altersgruppen - Stichtag 09.05.2011 -;;;;;;;;;;;;;
regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;;
Zensus 2011;;;;;;;;;;;;;
09.05.2011;;;;;;;;;;;;;
;;;Bevölkerung nach Erwerbsstatus;Erwerbspersonen;Erwerbstätige;Erwerbstätige;Erwerbstätige;Erwerbslose;Erwerbslose;Erwerbslose;Nichterwerbspersonen;Nichterwerbspersonen;Nichterwerbspersonen
;;;;;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich
;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
12054;      Potsdam, kreisfreie Stadt;45 bis unter 50 Jahre;12830;11930;11180;5460;5730;/;/;/;890;/;/
12054;      Potsdam, kreisfreie Stadt;50 bis unter 55 Jahre;9970;9090;8840;4200;4640;/;/;/;870;/;/
12054;      Potsdam, kreisfreie Stadt;55 bis unter 60 Jahre;10390;9110;8580;3970;4610;/;/;/;1290;/;770
12054;      Potsdam, kreisfreie Stadt;60 bis unter 65 Jahre;7730;4780;4650;1920;2730;/;/;/;2960;1130;1830
12054;      Potsdam, kreisfreie Stadt;65 bis unter 70 Jahre;7550;1330;1280;/;/;/;/;/;6220;2670;3550
12054;      Potsdam, kreisfreie Stadt;70 bis unter 75 Jahre;10910;760;740;/;/;/;/;/;10140;4670;5480
12054;      Potsdam, kreisfreie Stadt;75 bis unter 80 Jahre;5590;/;/;/;/;/;/;/;5270;1830;3430
12054;      Potsdam, kreisfreie Stadt;80 bis unter 85 Jahre;3580;/;/;/;/;/;/;/;3440;1280;2150
12054;      Potsdam, kreisfreie Stadt;85 bis unter 90 Jahre;1810;/;/;/;/;/;/;/;1800;/;1250
12054;      Potsdam, kreisfreie Stadt;90 Jahre und mehr;710;/;/;/;/;/;/;/;680;/;550
12054;      Potsdam, kreisfreie Stadt;Insgesamt;154740;90150;85810;42170;43630;4340;2560;1780;64590;29080;35510
12060;      Barnim, Landkreis;unter 5 Jahre;6460;x;x;x;x;x;x;x;6460;3260;3200
12060;      Barnim, Landkreis;5 bis unter 10 Jahre;7190;x;x;x;x;x;x;x;7190;3660;3540
12060;      Barnim, Landkreis;10 bis unter 15 Jahre;7160;x;x;x;x;x;x;x;7160;3660;3500
12060;      Barnim, Landkreis;15 bis unter 20 Jahre;5090;1920;1700;1010;690;/;/;/;3170;1540;1630
12060;      Barnim, Landkreis;20 bis unter 25 Jahre;9330;7410;6900;3800;3100;510;360;/;1920;970;960
12060;      Barnim, Landkreis;25 bis unter 30 Jahre;8790;7600;6940;3690;3250;670;430;/;1190;610;580
12060;      Barnim, Landkreis;30 bis unter 35 Jahre;9740;8900;8400;4350;4050;500;/;/;840;330;510
12060;      Barnim, Landkreis;35 bis unter 40 Jahre;9270;8560;8290;4280;4000;280;/;/;710;/;410
12060;      Barnim, Landkreis;40 bis unter 45 Jahre;13400;12430;12070;6010;6050;360;260;/;960;380;580
12060;      Barnim, Landkreis;45 bis unter 50 Jahre;17100;15850;15250;7690;7560;610;340;260;1240;550;690
12060;      Barnim, Landkreis;50 bis unter 55 Jahre;15930;14090;13250;6750;6490;840;320;510;1840;890;950
12060;      Barnim, Landkreis;55 bis unter 60 Jahre;14070;11770;10960;5380;5580;810;420;380;2300;1020;1280
12060;      Barnim, Landkreis;60 bis unter 65 Jahre;10450;5310;5020;2770;2250;/;/;/;5140;2210;2930
12060;      Barnim, Landkreis;65 bis unter 70 Jahre;10150;1370;1310;960;350;/;/;/;8790;4060;4730
12060;      Barnim, Landkreis;70 bis unter 75 Jahre;11770;880;860;520;340;/;/;/;10890;4890;6000
12060;      Barnim, Landkreis;75 bis unter 80 Jahre;7480;/;/;/;/;/;/;/;7260;3220;4030
12060;      Barnim, Landkreis;80 bis unter 85 Jahre;4410;/;/;/;/;/;/;/;4240;1550;2690
12060;      Barnim, Landkreis;85 bis unter 90 Jahre;2170;/;/;/;/;/;/;/;2050;450;1600
12060;      Barnim, Landkreis;90 Jahre und mehr;840;/;/;/;/;/;/;/;810;/;650
12060;      Barnim, Landkreis;Insgesamt;170800;96630;91480;47450;44040;5150;2960;2190;74170;33720;40440
12061;      Dahme-Spreewald, Landkreis;unter 5 Jahre;6230;x;x;x;x;x;x;x;6230;3340;2890
